-0.829602,0.303281,-0.985889,-0.718738,0.82324,-0.439886,0.0778243,0.109695,-0.653239,0.162552,-0.58367,0.215647,0.671676,-0.150084,0.9793,0.740674,0.234998,0.476576
-0.999345,-0.974444,0.782558,-0.607562,0.448545,0.479002,0.897849,-0.0134696,0.658013,0.968293,-0.723319,-0.587364,-0.99824,0.224076,-0.683476,0.703209,-0.281682,0.895063
-0.764027,-1,-0.86298,-0.176474,-0.291157,-0.347704,-0.971591,-0.285196,-0.776855,0.73068,1,-0.586676,-1,0.912606,0.927823,-0.027018,-0.791528,0.747797
-1,-0.950563,-0.919345,0.595191,-0.102408,0.325496,-0.416459,-0.478542,-0.322242,-0.587587,0.547594,-0.5357,-0.391473,0.23245,0.165408,0.496805,-0.237641,0.950177
-0.437457,-0.809154,-0.37195,0.0717402,0.4492,-0.714533,-0.217327,0.991287,0.691257,0.67159,0.212779,0.871773,-0.829403,-0.619012,0.462159,-0.300047,-0.994013,-0.516895
-0.629629,-0.220835,0.575248,-0.889463,0.642388,0.108762,0.137628,0.780215,-0.548748,-0.613145,-0.100286,0.39803,0.999667,-0.615482,0.544326,-0.393271,-0.903959,-0.526851
0.623025,-0.879096,-0.78392,-0.257745,0.664733,-0.589836,0.332498,-0.225211,0.896523,0.330616,-0.351928,-0.00717207,-0.982518,-0.948884,0.558641,0.535875,-0.469885,-0.291177
0.649171,-1,-0.0878478,0.904882,0.64682,-0.159992,-0.583656,-0.173966,0.211514,-0.679922,0.580592,0.677536,-0.341498,-0.763745,0.354823,-0.342012,-0.747817,-0.989042
-0.961712,0.478062,0.332097,0.556273,-0.111264,0.294426,0.0655526,0.924489,-0.93688,-0.87807,0.581808,-0.488191,0.284274,-0.794999,1,0.733686,-0.680689,0.745624
-0.791046,-0.729984,0.507844,-0.153202,0.157193,-0.562351,0.155038,-0.617125,-0.0413522,-0.0834226,0.141752,0.155452,-0.347071,0.913589,-0.650365,0.783317,0.423274,0.887502
-0.817103,-0.365595,-0.957755,-0.590606,0.942651,-0.724866,-0.0623724,-0.865359,-0.346214,-0.197379,0.715272,0.763067,0.79844,-0.593841,0.723761,0.90834,-0.910035,-0.866143
-0.893821,-1,0.134151,-0.624804,0.945005,0.724,0.880617,-0.119414,-0.326995,-0.609659,-0.399627,0.214071,0.679006,-0.909322,-0.838105,0.388261,-0.566882,-0.762714
